phoneme,file,audio_kind,commons_file,commons_page,author,uploader,licence,licence_url,date
z,u007a.ogg,isolated_phoneme,Voiced alveolar sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiced_alveolar_sibilant.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʃ,u0283.ogg,isolated_phoneme,Voiceless palato-alveolar sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_palato-alveolar_sibilant.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-30
ʒ,u0292.ogg,isolated_phoneme,Voiced palato-alveolar sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiced_palato-alveolar_sibilant.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-30
ʂ,u0282.ogg,isolated_phoneme,Voiceless retroflex sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_retroflex_sibilant.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-30
ʐ,u0290.ogg,isolated_phoneme,Voiced retroflex sibilant.ogg,https://commons.wikimedia.org/wiki/File:Voiced_retroflex_sibilant.ogg,Peter Isotalo,Peter Isotalo,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-30
ç,u00e7.ogg,isolated_phoneme,Voiceless palatal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_palatal_fricative.ogg,Kostya-Artist2005,Kostya-Artist2005,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʝ,u029d.ogg,isolated_phoneme,Voiced palatal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_palatal_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
x,u0078.ogg,isolated_phoneme,Voiceless velar fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_velar_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɣ,u0263.ogg,isolated_phoneme,Voiced velar fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_velar_fricative.ogg,Adamsa123,Adamsa123,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
χ,u03c7.ogg,isolated_phoneme,Voiceless uvular fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_uvular_fricative.ogg,Nardog,Nardog,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʁ,u0281.ogg,isolated_phoneme,Voiced uvular fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_uvular_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ħ,u0127.ogg,isolated_phoneme,Voiceless pharyngeal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_pharyngeal_fricative.ogg,Leonel Sohns,Leonel Sohns,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʕ,u0295.ogg,isolated_phoneme,Voiced pharyngeal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_pharyngeal_fricative.ogg,Peter Isotalo,Kostya-Artist2005,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2005-05-09
h,u0068.ogg,isolated_phoneme,Voiceless glottal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_glottal_fricative.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɦ,u0266.ogg,isolated_phoneme,Voiced glottal fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_glottal_fricative.ogg,Karmosin,Liaon98,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2005-04-17
ɬ,u026c.ogg,isolated_phoneme,Voiceless alveolar lateral fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiceless_alveolar_lateral_fricative.ogg,Recorded by tFighterPilot,Nardog,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2011-10-05
ɮ,u026e.ogg,isolated_phoneme,Voiced alveolar lateral fricative.ogg,https://commons.wikimedia.org/wiki/File:Voiced_alveolar_lateral_fricative.ogg,Adamsa123,Kostya-Artist2005,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2015-09-17
ʋ,u028b.ogg,isolated_phoneme,Labiodental approximant.ogg,https://commons.wikimedia.org/wiki/File:Labiodental_approximant.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
