phoneme,file,audio_kind,commons_file,commons_page,author,uploader,licence,licence_url,date
ǂ,u01c2.ogg,isolated_phoneme,Palatoalveolar click.ogg,https://commons.wikimedia.org/wiki/File:Palatoalveolar_click.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ǁ,u01c1.ogg,isolated_phoneme,Alveolar lateral click.ogg,https://commons.wikimedia.org/wiki/File:Alveolar_lateral_click.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɓ,u0253.ogg,isolated_phoneme,Voiced bilabial implosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_bilabial_implosive.ogg,Peter Isotalo,DramaRot,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-20
ɗ,u0257.ogg,isolated_phoneme,Voiced alveolar implosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_alveolar_implosive.ogg,Peter Isotalo,DramaRot,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2024-03-20
ʄ,u0284.ogg,isolated_phoneme,Voiced palatal implosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_palatal_implosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ɠ,u0260.ogg,isolated_phoneme,Voiced velar implosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_velar_implosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
ʛ,u029b.ogg,isolated_phoneme,Voiced uvular implosive.ogg,https://commons.wikimedia.org/wiki/File:Voiced_uvular_implosive.ogg,Karmosin~commonswiki,Karmosin~commonswiki,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,
i,u0069.ogg,isolated_phoneme,Close front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
y,u0079.ogg,isolated_phoneme,Close front rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_front_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɨ,u0268.ogg,isolated_phoneme,Close central unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_central_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Anlztrk,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,20 July 2005 (original upload date)
ʉ,u0289.ogg,isolated_phoneme,Close central rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_central_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɯ,u026f.ogg,isolated_phoneme,Close back unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_back_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
u,u0075.ogg,isolated_phoneme,Close back rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close_back_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɪ,u026a.ogg,isolated_phoneme,Near-close near-front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Near-close_near-front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ʏ,u028f.ogg,isolated_phoneme,Near-close near-front rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Near-close_near-front_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Denelson83,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ʊ,u028a.ogg,isolated_phoneme,Near-close near-back rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Near-close_near-back_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
e,u0065.ogg,isolated_phoneme,Close-mid front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,トレインファン,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ø,u00f8.ogg,isolated_phoneme,Close-mid front rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_front_rounded_vowel.ogg,Denelson83,JøMa,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɘ,u0258.ogg,isolated_phoneme,Close-mid central unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_central_unrounded_vowel.ogg,Denelson83,Oklopfer,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2005-07-16
ɵ,u0275.ogg,isolated_phoneme,Close-mid central rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_central_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,DramaRot,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɤ,u0264.ogg,isolated_phoneme,Close-mid back unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_back_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
o,u006f.ogg,isolated_phoneme,Close-mid back rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Close-mid_back_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ə,u0259.ogg,isolated_phoneme,Mid-central vowel.ogg,https://commons.wikimedia.org/wiki/File:Mid-central_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Trlkly,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɛ,u025b.ogg,isolated_phoneme,Open-mid front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,DePiep,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
œ,u0153.ogg,isolated_phoneme,Open-mid front rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_front_rounded_vowel.ogg,No machine-readable author provided. JøMa assumed (based on copyright claims).,JøMa,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,27 March 2011 (original upload date)
ɜ,u025c.ogg,isolated_phoneme,Open-mid central unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_central_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,SUM1,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɞ,u025e.ogg,isolated_phoneme,Open-mid central rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_central_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,The Spartan 003,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ʌ,u028c.ogg,isolated_phoneme,Open-mid back unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_back_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,1tslmn2015,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɔ,u0254.ogg,isolated_phoneme,Open-mid back rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open-mid_back_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
æ,u00e6.ogg,isolated_phoneme,Near-open front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Near-open_front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɐ,u0250.ogg,isolated_phoneme,Near-open central unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Near-open_central_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,SUM1,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
a,u0061.ogg,isolated_phoneme,Open front unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open_front_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɶ,u0276.ogg,isolated_phoneme,Open front rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open_front_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Peter238,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɑ,u0251.ogg,isolated_phoneme,Open back unrounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open_back_unrounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,Yann,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
ɒ,u0252.ogg,isolated_phoneme,Open back rounded vowel.ogg,https://commons.wikimedia.org/wiki/File:Open_back_rounded_vowel.ogg,No machine-readable author provided. Denelson83 assumed (based on copyright claims).,The Spartan 003,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,16 July 2005 (original upload date)
aɪ,u0061_026a.ogg,word_example,En-us-eye.ogg,https://commons.wikimedia.org/wiki/File:En-us-eye.ogg,No machine-readable author provided. Muke assumed (based on copyright claims).,Muke,Public domain,,2 December 2004 (original upload date)
aʊ,u0061_028a.ogg,word_example,En-us-ow.ogg,https://commons.wikimedia.org/wiki/File:En-us-ow.ogg,Dvortygirl,Dvortygirl,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2006-10-01
eɪ,u0065_026a.ogg,word_example,En-us-hey.ogg,https://commons.wikimedia.org/wiki/File:En-us-hey.ogg,Dvortygirl,Dvortygirl,Public domain,,2005-08-13
əʊ,u0259_028a.ogg,word_example,En-uk-oh.ogg,https://commons.wikimedia.org/wiki/File:En-uk-oh.ogg,Rockrunnerthecard,Rockrunnerthecard,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,2014-11-20
ɔɪ,u0254_026a.ogg,word_example,En-us-boy.ogg,https://commons.wikimedia.org/wiki/File:En-us-boy.ogg,Dvortygirl,Dvortygirl,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2006-06-04
ɪə,u026a_0259.ogg,word_example,En-uk-ear.ogg,https://commons.wikimedia.org/wiki/File:En-uk-ear.ogg,No machine-readable author provided. Chris Melville assumed (based on copyright claims).,Chris Melville,Public domain,,11 April 2007 (original upload date)
eə,u0065_0259.ogg,word_example,En-uk-air.ogg,https://commons.wikimedia.org/wiki/File:En-uk-air.ogg,"Association Shtooka, Judith Franck",DerbethBot,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/us/deed.en,2009-11-07
ʊə,u028a_0259.ogg,word_example,En-us-tour.ogg,https://commons.wikimedia.org/wiki/File:En-us-tour.ogg,Dvortygirl,Dvortygirl,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,2006-09-21
